address,lat,longi,Route_Name,Locality_Name,postal_town,Admin_level3,Admin_level2,Admin_level1,country
SL1 1NH Sussex Place,51.506404499999995,-0.5803539999999999,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NJ Clements Close,51.506685499999996,-0.5801183000000001,Clements Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1NL Sussex Place,51.506080299999994,-0.5777002999999999,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NN Sussex Place,51.50573920000001,-0.5762762,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NP Sussex Place,51.506404499999995,-0.5803539999999999,Cheshire Court,Slough,Slough,,Slough,England,United Kingdom
SL1 1NR Sussex Place,51.506685600000004,-0.58209,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NT Sussex Place,51.506913,-0.5833598000000001,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NU Nixey Close,51.505581400000004,-0.582711,Nixey Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1NW Sussex Place,51.5062941,-0.5790430999999999,Sussex Place,Slough,Slough,,Slough,England,United Kingdom
SL1 1NX Sussex Close,51.50597200000001,-0.5794855,Sussex Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1NY Sussex Close,51.50597200000001,-0.5794855,Sussex Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1NZ Chichester Court,51.5066362,-0.5817698,Chichester Court,Slough,Slough,,Slough,England,United Kingdom
SL1 1PA Herschel Street,51.507144700000005,-0.5900407999999999,Herschel Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PB Herschel Street,51.50759550000001,-0.5924699999999999,Herschel Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PD Park Street,51.5075394,-0.5914401,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PE Park Street,51.5075394,-0.5914401,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PF Chapel Street,51.5080129,-0.5924486999999999,Chapel Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PG Herschel Street,51.50819370000001,-0.5950888999999999,Herschel Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PJ Church Street,51.50676319999999,-0.5940323000000001,Church Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PL Church Street,51.50769520000001,-0.5935815,Church Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PP Osborne Street,51.5063229,-0.5918308000000001,Osborne Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PQ Church Street,51.508350799999995,-0.5932582,Church Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PR Victoria Street,51.50707209999999,-0.5926806,Victoria Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PS Park Street,51.507208500000004,-0.5915397,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PU Park Street,51.5057474,-0.5914594,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PW Park Street,51.50662379999999,-0.5916724999999999,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1PX Park Street,51.5057474,-0.5914594,Park Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1QA Merton Road,51.50573060000001,-0.5869658,Merton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1QE Hatfield Road,51.5068348,-0.5858519999999999,Hatfield Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1QH Alpha Street South,51.5050651,-0.5897336,Alpha Street South,Slough,Slough,,Slough,England,United Kingdom
SL1 1QJ Grove Close,51.505537,-0.5890508999999999,Grove Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1QN Merton Road,51.5056975,-0.5859633000000001,Merton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1QP The Grove,51.5063462,-0.5877597999999999,The Grove,Slough,Slough,,Slough,England,United Kingdom
SL1 1QR Merton Road,51.5057582,-0.5875309,Merton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1QS Rye Court,51.505837400000004,-0.5886275000000001,Rye Court,Slough,Slough,,Slough,England,United Kingdom
